,id,name,출판일,분류,작가,순위,평점,한줄평,댓글등록자,댓글등록일
0,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,아이가 좋아해서 꾸준히 구입하고 있어요,뮤*꽃,2021-04-26
1,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,아이가 좋아해요,a*******e,2021-04-16
2,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,몇년째 꾸준히 보고있습니다,s*****0,2021-04-06
3,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,한자를 배울 수 있어 좋네요. 이제 한자가 점점 어려워져요.,두*,2021-04-01
4,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,아들이 좋아하네요.,b********1,2021-03-20
5,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,장기대박책!,,2021-03-19
6,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,잘받았어요,p******5,2021-03-16
7,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,브로마이드보고구입했습니다,a*****6,2021-03-14
8,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,역시나 내용이 좋습니다.,m******7,2021-03-07
9,92576547,마법천자문 49 ,2020년 09월 16일,"['국내도서', '어린이', '3-4학년', '3-4학년 만화/애니메이션', '3-4학년 학습만화', '국내도서', '어린이', '5-6학년', '5-6학년 만화/애니메이션', '5-6학년 학습만화', '국내도서', '어린이', '학습만화/코믹스', '학습만화']","
유대영 글/홍거북 그림/김창환 감수
        ",1041,평점5점,아이가 아주 좋아해요~,마**사,2021-03-02
