,id,name,한줄평,순위,분류열,긍정확률,부정확률,평점
523,98227211,가지말라는데가고싶은길이있다,11,1, 국내도서    소설 시 희곡    시 희곡    한국 시     유퀴즈온더블럭_자기님들     서정시     감성시집     선물하기좋은시집 ,0.807061645117673,0.192938354882327,5.0
646,99300613,귀멸의칼날23,30,1, 국내도서    만화 라이트노벨    판타지     이만화가대단하다     소년만화     명작만화 ,0.6970467050870259,0.302953294912974,4.533333333333333
655,99358494,만화나혼자만레벨업4,1,1, 국내도서    만화 라이트노벨    웹툰     다음 카카오 연재     국내도서    만화 라이트노벨    판타지     인기웹툰단행본     작화가장난아니야      게임판타지 ,0.9381239414215088,0.06187605857849121,4.0
190,70146282,사랑해시리즈6권세트(유아도서1권+가제손수건증정):사랑해사랑해사랑해/사랑해모두모두사랑해/넌사랑받기위해태어났단다/사랑해자장자장사랑해/머리부터발끝까지사랑해/언,1,2, 국내도서    전집    0 3세    창작동화 ,0.9961423873901368,0.0038576126098632812,5.0
307,91065309,달러구트꿈백화점,30,2, 국내도서    소설 시 희곡    장르소설    판타지    국내도서    소설 시 희곡    한국소설    한국 장편소설    국내도서    YES24 올해의 책    2020년 올해의 책 후보도서    국내도서    YES24 올해의 책    2020년 올해의 책 선정도서     다시보는2020     올해의책     감동     힐링판타지 ,0.7566256433725357,0.2433743566274643,4.5
589,98985989,딱한번읽고바로써먹는30일기초영문법2,5,2, 국내도서    국어 외국어 사전    영어    영어 독해 문법 작문 번역    영문법    국내도서    국어 외국어 사전    영어    영어 독해 문법 작문 번역     영문법고민끝내드려요 ,0.9031386494636535,0.09686135053634644,5.0
477,97563496,"말모이,다시쓰는우리말사전",1,3, 국내도서    국어 외국어 사전    국어    국어 어문학    국내도서    대학교재    어문학 계열    국문학    국어국문학 기타    국내도서    대학교재    어문학 계열    국문학     우리의자랑한글     유용한사전 ,0.5986484289169312,0.4013515710830689,5.0
557,98831374,"아들아,돈공부해야한다",18,3, 국내도서    경제 경영    경제    경제상식 경제이야기    국내도서    경제 경영    투자 재테크    재테크일반     부자되는법 ,0.7703461928500069,0.22965380714999306,4.4444444444444455
120,38893626,전설로떠나는월가의영웅,29,3, 국내도서    경제 경영    경영    기업 경영자스토리    국내도서    경제 경영    투자 재테크    주식 증권    국내도서    경제 경영    CEO 비즈니스맨    기업 경영자스토리     주린이힘내힘내      금융문맹탈출     독서모임_주식스터디     CEO는누가되나     승자기업     글로벌기업     성공하는기업     주식투자     성공스토리     성공하고싶다면     성공과성장 ,0.7330376701108341,0.26696232988916596,4.862068965517241
511,97963005,오늘은이만좀쉴게요(10만부기념스페셜에디션),2,4, 국내도서    에세이    한국 에세이 ,0.8806841671466827,0.11931583285331725,4.5
584,98984033,꿈꾸는구둣방,8,4, 국내도서    경제 경영    경영    기업 경영자스토리    국내도서    경제 경영    CEO 비즈니스맨    기업 경영자스토리    국내도서    미디어 추천    한겨레 ,0.7988050989806652,0.2011949010193348,4.5
