,id,name,분류열
0,99300613,귀멸의 칼날 23 , 국내도서    만화 라이트노벨    판타지     이만화가대단하다     소년만화     명작만화 
30,91065309,달러구트 꿈 백화점, 국내도서    소설 시 희곡    장르소설    판타지    국내도서    소설 시 희곡    한국소설    한국 장편소설    국내도서    YES24 올해의 책    2020년 올해의 책 후보도서    국내도서    YES24 올해의 책    2020년 올해의 책 선정도서     다시보는2020     올해의책     감동     힐링판타지 
60,98831374,"아들아, 돈 공부해야 한다", 국내도서    경제 경영    경제    경제상식 경제이야기    국내도서    경제 경영    투자 재테크    재테크일반     부자되는법 
78,93522583,어떻게 말해줘야 할까, 국내도서    가정 살림    육아    육아법 육아일기    국내도서    가정 살림    자녀교육    자녀교육일반     일생의기술     대화가필요해     자녀와의대화     부모는처음이라     부모가된다는것     부모와아이가행복한육아     아이를키운다면한번쯤     대화의기술 
108,97246346,엔드 오브 타임, 국내도서    자연과학    물리학    물리학 일반    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     유시민추천도서     과학_물화생지 
126,96644794,주린이가 가장 알고 싶은 최다질문 TOP 77, 국내도서    경제 경영    투자 재테크    주식 증권     주린이힘내힘내      주식투자     주식초보     주식투자입문     삼프로TV 
156,99475212,정재승의 인간탐구보고서 6, 국내도서    어린이    3 4학년    3 4학년 학습    3 4학년 과학 환경    국내도서    어린이    5 6학년    5 6학년 학습    5 6학년 과학 환경    국내도서    어린이    초등학습    과학 환경 
163,97927267,설민석의 한국사 대모험 16, 국내도서    어린이    1 2학년    1 2학년 만화 애니메이션    1 2학년 역사 인물만화    국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 역사 인물만화    국내도서    어린이    5 6학년    5 6학년 만화 애니메이션    5 6학년 역사 인물만화    국내도서    어린이    학습만화 코믹스    역사 인물만화     어린이한국사 
192,90872322,기분이 태도가 되지 않게 (10만 부 기념 봄 에디션), 국내도서    자기계발    처세술 삶의 자세    국내도서    YES24 올해의 책    2020년 올해의 책 후보도서    국내도서    YES24 올해의 책    2020년 올해의 책 선정도서     다시보는2020     올해의책     마음다스리기     분노조절잘해      인간관계     심리학처방전 
222,100285841,룬의 아이들 - 블러디드 4, 국내도서    소설 시 희곡    장르소설    판타지    국내도서    소설 시 희곡    한국소설    한국 장편소설     해외에서인기있는한국소설     빠져드는흡인력     전설의레전드     판타지 SF     믿고보는시리즈 
230,99018415,2021 제12회 젊은작가상 수상작품집, 국내도서    소설 시 희곡    한국소설    한국 단편소설    국내도서    국내문학상 수상작    젊은작가상 수상작     믿고보는시리즈     이가격실화  
260,97948340,질서 너머, 국내도서    인문    심리    심리학 이론    국내도서    미디어 추천    조선일보     성공과성장     베스트셀러후속작 
290,24259730,꽃을 보듯 너를 본다, 국내도서    소설 시 희곡    시 희곡    한국 시     유퀴즈온더블럭_자기님들     방탄소년단이읽은책     방탄책방      방탄제이홉이추천한책     시시한게좋아     드라마에소개된책     감성     선물하기좋은시집     남자친구 
320,99400850,흔한남매 별난 방탈출 2, 국내도서    어린이    3 4학년    3 4학년 놀이    3 4학년 퍼즐 퀴즈 유머 수수께끼    국내도서    어린이    5 6학년    5 6학년 놀이    5 6학년 퍼즐 퀴즈 유머 수수께끼    국내도서    어린이    어린이 교양    놀이    퍼즐 퀴즈 유머 수수께끼 
330,99128786,"서른살, 비트코인으로 퇴사합니다", 국내도서    경제 경영    투자 재테크    재테크일반     코린이 
348,99100281,2021 선재국어 나침판 실전 모의고사 vol.2, 국내도서    수험서 자격증    공무원    국어 한문     문제집 모의고사     국내도서    수험서 자격증    공무원    경찰공무원 승진     승진시험    국내도서    수험서 자격증    공무원    경찰공무원 승진     국내도서    수험서 자격증    공무원    소방공무원 승진     소방승진    국내도서    수험서 자격증    공무원    직군별 문제집    법원직     공무원모의고사     실전모의고사 
368,99351629,밤을 걷는 밤, 국내도서    에세이    명사 연예인 에세이     국내도서    에세이    한국 에세이    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    동아일보     잠못드는당신에게     새벽에읽기좋은책     일상의아름다움     연예인작가     노래하는작가     걷기의즐거움     산책이주는것 
381,93716622,하루 1분 초간단 스트레칭, 국내도서    건강 취미    질병과 치료법    국내도서    건강 취미    요가 체조 기타     일상운동     건강한삶     새해결심     생활습관 
387,97636690,흔한남매 7, 국내도서    어린이    1 2학년    1 2학년 만화 애니메이션    1 2학년 애니메이션 영화드라마 원작    국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 애니메이션 영화드라마 원작    국내도서    어린이    학습만화 코믹스    애니메이션 영화드라마 원작     유튜버 
413,97404824,나의 첫 투자 수업 2 투자편, 국내도서    경제 경영    투자 재테크    주식 증권     주린이힘내힘내      주식투자입문     주식투자     주식초보 
442,97156329,귀멸의 칼날 22 , 국내도서    만화 라이트노벨    판타지     이만화가대단하다     소년만화     명작만화 
472,97522081,마지막 몰입 : 나를 넘어서는 힘, 국내도서    자기계발    성공학 경력관리     나도몰랐던나를찾아     성공하고싶다면 
502,97323025,"2021 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 상", 국내도서    수험서 자격증    한국사능력검정시험    심화 1 2 3급     국내도서    수험서 자격증    한국사능력검정시험     분철     믿고보는명강사     한능검심화 
532,97404754,나의 첫 투자 수업 1 마인드편, 국내도서    경제 경영    투자 재테크    주식 증권     유튜버의책     부자되는법     경제교육     주린이힘내힘내      주식투자입문     주식투자     주식초보 
562,1984959,엘리어트 파동이론, 국내도서    경제 경영    투자 재테크    주식 증권 
567,99146953,공간의 미래, 국내도서    인문    주제로 읽는 인문학     공간   도시 
568,93888691,2030 축의 전환, 국내도서    경제 경영    마케팅 세일즈    트렌드 미래예측     2030     김미경TV     아마존인기도서     미래전망     미래예측 
598,37300128,아몬드, 국내도서    소설 시 희곡    한국소설    한국 장편소설    국내도서    행복한아침독서 책둥이 추천    2018 년    청소년용 중3 고1     국내도서    해외문학상 수상작    일본서점대상 수상작    국내도서    미디어 추천    한겨레    국내도서    YES24 올해의 책    2017년 올해의 책 후보도서     방탄슈가가추천한책      방탄책방      방탄소년단이읽은책     서점대상     해외에서인기있는한국소설     연극뮤지컬원작     영어덜트소설     이별과성장     관계 
628,97323030,"2021 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 하", 국내도서    수험서 자격증    한국사능력검정시험    심화 1 2 3급     국내도서    수험서 자격증    한국사능력검정시험     분철     믿고보는명강사     한능검심화 
654,98137426,130층 나무 집, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     모험을떠나요 
684,96971128,어떤 죽음이 삶에게 말했다, 국내도서    에세이    삶의 자세와 지혜    국내도서    에세이    한국 에세이    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     의사에세이      유퀴즈온더블럭_자기님들     죽음에관하여     희망     삶과죽음     성찰 
711,25283908,나는 3학년 2반 7번 애벌레, 국내도서    어린이    1 2학년    1 2학년 그림 동화책    1 2학년 창작동화    국내도서    어린이    3 4학년    3 4학년 그림 동화책    3 4학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     성장동화     애벌레     창비좋은어린이책 
741,98985896,딱 한 번 읽고 바로 써먹는 30일 기초 영문법 1 , 국내도서    국어 외국어 사전    영어    영어 독해 문법 작문 번역    영문법    국내도서    국어 외국어 사전    영어    영어 독해 문법 작문 번역     분철     영문법고민끝내드려요 
760,98896046,설민석의 세계사 대모험 8, 국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 역사 인물만화    국내도서    어린이    5 6학년    5 6학년 만화 애니메이션    5 6학년 역사 인물만화    국내도서    어린이    학습만화 코믹스    역사 인물만화    국내도서    미디어 추천    동아일보     초등세계사 
788,72143923,귀멸의 칼날 8, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
818,94489333,공정하다는 착각, 국내도서    사회 정치    사회학    사회사 사회문화    국내도서    인문    윤리학    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    동아일보    국내도서    미디어 추천    한겨레     미디어셀러     능력주의      불공정행위 
848,58774995,부자 아빠 가난한 아빠 20주년 특별 기념판, 국내도서    경제 경영    투자 재테크    재테크일반     돈모으고싶을때     금융문맹탈출     가난이싫어     부자되는법 
878,95594067,귀멸의 칼날 21 , 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
908,93223466,귀멸의 칼날 20, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
938,69750959,귀멸의 칼날 7, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
968,50151751,귀멸의 칼날 1, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
998,99428885,호랑이를 덫에 가두면, 국내도서    어린이    5 6학년    5 6학년 그림 동화책    5 6학년 창작동화    국내도서    어린이    어린이 문학    그림 동화책    창작동화     뉴베리수상작  
1012,91201840,귀멸의 칼날 19, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1041,90335808,귀멸의 칼날 18, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1071,56331602,귀멸의 칼날 2, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1101,72143936,귀멸의 칼날 9, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1131,99111756,달까지 가자, 국내도서    소설 시 희곡    한국소설    한국 장편소설    국내도서    미디어 추천    조선일보    국내도서    미디어 추천    중앙일보    국내도서    미디어 추천    한겨레    국내도서    미디어 추천    경향신문     시대반영     현실을그렸어요     직장인공감 
1157,57827687,귀멸의 칼날 3, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1187,99181849,그러라 그래, 국내도서    에세이    명사 연예인 에세이     국내도서    에세이    한국 에세이    국내도서    인물    연예인 방송인 스포츠맨    국내도서    미디어 추천    한겨레     연예인에세이     노래하는작가     나답게살자     인생이힘들때 
1193,86153932,귀멸의 칼날 14, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1223,97242874,수학 잘하는 아이는 이렇게 공부합니다, 국내도서    가정 살림    자녀교육    학습법일반     생각하는힘     초등수학     공부습관 
1253,78863297,귀멸의 칼날 10, 국내도서    만화 라이트노벨    액션     이만화가대단하다 
1283,99269728,그리스 로마 신화 22, 국내도서    어린이    1 2학년    1 2학년 만화 애니메이션    1 2학년 학습만화    국내도서    어린이    3 4학년    3 4학년 만화 애니메이션    3 4학년 학습만화    국내도서    어린이    어린이 문학    그림 동화책    신화 전설    국내도서    어린이    학습만화 코믹스    학습만화 
1290,89415680,귀멸의 칼날 16, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1320,90000653,귀멸의 칼날 17, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1350,83557267,귀멸의 칼날 12, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1380,62751508,귀멸의 칼날 5, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1409,87631208,귀멸의 칼날 15, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1439,59716384,귀멸의 칼날 4, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
1469,80455989,귀멸의 칼날 11, 국내도서    만화 라이트노벨    판타지     이만화가대단하다 
